text,sentiment
good,Positive
great,Positive
i love you,Positive
okay,Neutral
it is fine,Neutral
nice,Positive
fedt,Positive
ikke dårligt,Positive
godt,Positive
går,Neutral
skole,Neutral


acclaim,Positive
acclaimed,Positive
acclamation,Positive
accomplishment,Positive
accurate,Positive
accurately,Positive
achievable,Positive
achievement,Positive
achievements,Positive
adjustable,Positive
admirable,Positive
admirably,Positive
admiration,Positive
admire,Positive
admirer,Positive
admiring,Positive
admiringly,Positive
adorable,Positive
adore,Positive
adored,Positive
adorer,Positive
adoring,Positive
adoringly,Positive
appreciatively,Positive
appropriate,Positive
approval,Positive
approve,Positive
assurances,Positive
assure,Positive
assuredly,Positive
astonish,Positive
astonished,Positive
astonishing,Positive
astonishingly,Positive
better,Positive
beutifully,Positive
blameless,Positive
bless,Positive
celebrated,Positive
celebration,Positive
celebratory,Positive
champ,Positive
clearer,Positive
clearly,Positive
clears,Positive
clever,Positive
cleverly,Positive
confidence,Positive
confident,Positive
congenial,Positive
congratulate,Positive
congratulation,Positive
congratulations,Positive
congratulatory,Positive
decency,Positive
decent,Positive
decisive,Positive
decisiveness,Positive
dedicated,Positive
earnestly,Positive
earnestness,Positive
ease,Positive
eased,Positive
eases,Positive
easiest,Positive
easiness,Positive
easing,Positive
easy,Positive
easygoing,Positive
ebullience,Positive
ebullient,Positive
ebulliently,Positive
ecenomical,Positive
economical,Positive
ecstasies,Positive
ecstasy,Positive
ecstatic,Positive
ecstatically,Positive
edify,Positive
effectiveness,Positive
effectual,Positive
efficacious,Positive
efficient,Positive
efficiently,Positive
effortless,Positive
effortlessly,Positive
effusion,Positive
effusive,Positive
effusively,Positive
effusiveness,Positive
elan,Positive
elate,Positive
elated,Positive
elatedly,Positive
electrify,Positive
elegance,Positive
elegant,Positive
elegantly,Positive
elevate,Positive
elite,Positive
eloquence,Positive
eloquent,Positive
eloquently,Positive
embolden,Positive
eminent,Positive
empathize,Positive
empathy,Positive
empower,Positive
empowerment,Positive
enchant,Positive
enchanted,Positive
enchanting,Positive
encourage,Positive
encouragement,Positive
encouraging,Positive
encouragingly,Positive
endear,Positive
endorsed,Positive
endorsement,Positive
endorses,Positive
endorsing,Positive
